case_type,selection_reason,question_id,model,exemplar_type,N,question,context_snippet,ground_truth,sdp_final_answer,sdp_f1,sdp_em,sdp_avg_latency_sec,sdp_answer_diversity,sdp_top_ensemble_answers,baseline_standard_answer,baseline_standard_f1,baseline_standard_em,baseline_sanitized_answer,baseline_sanitized_f1,baseline_sanitized_em
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),5730a4d02461fd1900a9cf2b,qwen,sanitized,100,Where did France focus its efforts to rebuild its empire?,"France took control of Algeria in 1830 but began in earnest to rebuild its worldwide empire after 1850, concentrating chiefly in North and West Africa, as well as South-East Asia, with other conquests","Africa | North and West Africa | North and West Africa | North and West Africa, as well as South-East Asia, with other conquests in Central and East Africa, as well as the South Pacific | North and West Africa, as well as South-East Asia,",north and west africa as well as southeast asia,1.0,1,1.6926,0.02,"""north and west africa as well as southeast asia"" × 99 | ""north and west africa southeast asia"" × 1","North and West Africa, as well as South-East Asia",1.0,1,"North and West Africa, as well as South-East Asia",1.0,1
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),57111ab8a58dae1900cd6c3c,qwen,sanitized,100,What protestant religions made Northern European counties safe for Huguenot immigration?,"Around 1685, Huguenot refugees found a safe haven in the Lutheran and Reformed states in Germany and Scandinavia. Nearly 50,000 Huguenots established themselves in Germany, 20,000 of whom were welcome",Lutheran and Reformed | Lutheran and Reformed | Lutheran and Reformed,lutheran and reformed,1.0,1,1.8865,0.01,"""lutheran and reformed"" × 100",Lutheran and Reformed,1.0,1,Lutheran and Reformed,1.0,1
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),57263cfcec44d21400f3dc8d,qwen,sanitized,100,What was Apple Talk ,AppleTalk was a proprietary suite of networking protocols developed by Apple Inc. in 1985 for Apple Macintosh computers. It was the primary protocol used by Apple devices through the 1980s and 90s. Ap,a proprietary suite of networking protocols developed by Apple Inc. in 1985 | a proprietary suite of networking protocols developed by Apple Inc | proprietary suite of networking protocols,proprietary suite of networking protocols,1.0,1,1.5189,0.01,"""proprietary suite of networking protocols"" × 100",a proprietary suite of networking protocols,1.0,1,a proprietary suite of networking protocols,1.0,1
success,SDP-ICL F1=1.000 (EM=1),57265c10f1498d1400e8dd37,qwen,sanitized,100,What happens when bathocyroe and ocyropsis clap their lobes together?,"Lobates have eight comb-rows, originating at the aboral pole and usually not extending beyond the body to the lobes; in species with (four) auricles, the cilia edging the auricles are extensions of ci",jet of expelled water drives them backwards very quickly. | jet of expelled water drives them backwards very quickly | expelled water drives them backwards very quickly,jet of expelled water drives them backwards very quickly,1.0,1,1.8244,0.02,"""jet of expelled water drives them backwards very quickly"" × 92 | ""escape from danger"" × 8",escape from danger,0.0,0,escape from danger,0.0,0
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),571c3a685efbb31900334db3,qwen,sanitized,100,Of what group in the periodic table is oxygen a member?,Oxygen is a chemical element with symbol O and atomic number 8. It is a member of the chalcogen group on the periodic table and is a highly reactive nonmetal and oxidizing agent that readily forms com,chalcogen | chalcogen | chalcogen | chalcogen | the chalcogen group,chalcogen group,1.0,1,1.631,0.02,"""chalcogen group"" × 88 | ""chalcogen"" × 12",chalcogen group,1.0,1,chalcogen,1.0,1
partial,SDP-ICL F1=0.625 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,57287e512ca10214002da3fa,qwen,sanitized,100,How well did the Mongol Emperors know Chinese?,"Since its invention in 1269, the 'Phags-pa script, a unified script for spelling Mongolian, Tibetan, and Chinese languages, was preserved in the court until the end of the dynasty. Most of the Emperor","could not master written Chinese, but they could generally converse well | could not master written Chinese, but they could generally converse well | well",could not master written chinese,0.625,0,1.7468,0.04,"""could not master written chinese"" × 70 | ""could generally converse well in language"" × 27 | ""could generally converse well"" × 2 | ""could not master written chinese but could generally converse well in language"" × 1",could not master written Chinese,0.625,0,could not master written Chinese,0.625,0
partial,SDP-ICL F1=0.571 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,57274b35f1498d1400e8f5d6,qwen,sanitized,100,How are ergänzungsschulen funded?,"Ergänzungsschulen are secondary or post-secondary (non-tertiary) schools, which are run by private individuals, private organizations or rarely, religious groups and offer a type of education which is",tuition | tuition | tuition fees,charging their students tuition fees,0.5714,0,1.6078,0.01,"""charging their students tuition fees"" × 100",charging their students tuition fees,0.5714,0,charging their students tuition fees,0.5714,0
partial,SDP-ICL F1=0.571 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,5711119cb654c5140001fae7,qwen,sanitized,100,What made emigration to these colonies attractive?,"The bulk of Huguenot émigrés relocated to Protestant European nations such as England, Wales, Scotland, Denmark, Sweden, Switzerland, the Dutch Republic, the Electorate of Brandenburg and Electorate o",they were accepted and allowed to worship freely | allowed to worship freely | they were accepted and allowed to worship freely,freedom to worship,0.5714,0,1.5905,0.04,"""freedom to worship"" × 90 | ""freely to worship"" × 4 | ""they were accepted and allowed to worship freely"" × 4 | ""freely worship"" × 2",freedom to worship,0.5714,0,freedom to worship,0.5714,0
partial,SDP-ICL F1=0.571 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,57273a465951b619008f8701,qwen,sanitized,100,What percentile of gross domestic product is construction comprised of?,Construction is the process of constructing a building or infrastructure. Construction differs from manufacturing in that manufacturing typically involves mass production of similar items without a de,six to nine percent | six to nine percent | six to nine percent,six to ninepercent,0.5714,0,1.515,0.03,"""six to ninepercent"" × 69 | ""69"" × 20 | ""six to nine percent"" × 11",6-9%,0.0,0,six to ninepercent,0.5714,0
partial,SDP-ICL F1=0.667 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,57265c10f1498d1400e8dd36,qwen,sanitized,100,What does the bathocyroe and ocyropsis do to escape danger?,"Lobates have eight comb-rows, originating at the aboral pole and usually not extending beyond the body to the lobes; in species with (four) auricles, the cilia edging the auricles are extensions of ci",by clapping their lobes | clapping their lobes | clapping their lobes,clap their lobes,0.6667,0,1.7939,0.01,"""clap their lobes"" × 100",clap their lobes,0.6667,0,clap their lobes,0.6667,0
