case_type,selection_reason,question_id,model,exemplar_type,N,question,context_snippet,ground_truth,sdp_final_answer,sdp_f1,sdp_em,sdp_avg_latency_sec,sdp_answer_diversity,sdp_top_ensemble_answers,baseline_standard_answer,baseline_standard_f1,baseline_standard_em,baseline_sanitized_answer,baseline_sanitized_f1,baseline_sanitized_em
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=0.706); 優於 Baseline-Sanitized (F1=0.706),5730a4d02461fd1900a9cf2b,llama,sanitized,100,Where did France focus its efforts to rebuild its empire?,"France took control of Algeria in 1830 but began in earnest to rebuild its worldwide empire after 1850, concentrating chiefly in North and West Africa, as well as South-East Asia, with other conquests","Africa | North and West Africa | North and West Africa | North and West Africa, as well as South-East Asia, with other conquests in Central and East Africa, as well as the South Pacific | North and West Africa, as well as South-East Asia,",north and west africa as well as southeast asia,1.0,1,1.9426,0.03,"""north and west africa as well as southeast asia"" × 96 | ""north and west africa southeast asia"" × 3 | ""north africa southeast asia central africa east africa south pacific north and west africa"" × 1","North and West Africa, 
South-East Asia, 
Central and East Africa, 
the South Pacific",0.7059,0,"North and West Africa, 
South-East Asia, 
Central and East Africa, 
the South Pacific",0.7059,0
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=0.800),57111ab8a58dae1900cd6c3c,llama,sanitized,100,What protestant religions made Northern European counties safe for Huguenot immigration?,"Around 1685, Huguenot refugees found a safe haven in the Lutheran and Reformed states in Germany and Scandinavia. Nearly 50,000 Huguenots established themselves in Germany, 20,000 of whom were welcome",Lutheran and Reformed | Lutheran and Reformed | Lutheran and Reformed,lutheran and reformed,1.0,1,2.0669,0.01,"""lutheran and reformed"" × 100",Lutheran and Reformed,1.0,1,"Lutheran 
Reformed",0.8,0
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),57263cfcec44d21400f3dc8d,llama,sanitized,100,What was Apple Talk ,AppleTalk was a proprietary suite of networking protocols developed by Apple Inc. in 1985 for Apple Macintosh computers. It was the primary protocol used by Apple devices through the 1980s and 90s. Ap,a proprietary suite of networking protocols developed by Apple Inc. in 1985 | a proprietary suite of networking protocols developed by Apple Inc | proprietary suite of networking protocols,proprietary suite of networking protocols,1.0,1,1.7041,0.04,"""proprietary suite of networking protocols"" × 70 | ""networking protocols"" × 15 | ""appletalk"" × 9 | ""suite of networking protocols"" × 6",a proprietary suite of networking protocols,1.0,1,a proprietary suite of networking protocols,1.0,1
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),5729f0db6aef051400155126,llama,sanitized,100,The Amazon region is home to how many species of insect?,"The region is home to about 2.5 million insect species, tens of thousands of plants, and some 2,000 birds and mammals. To date, at least 40,000 plant species, 2,200 fishes, 1,294 birds, 427 mammals, 4",2.5 million | about 2.5 million | 2.5 million,25 million,1.0,1,1.717,0.01,"""25 million"" × 100",2.5 million,1.0,1,2.5 million,1.0,1
success,SDP-ICL F1=1.000 (EM=1); 優於或持平 Baseline-Standard (F1=1.000); 優於 Baseline-Sanitized (F1=1.000),571c3a685efbb31900334db3,llama,sanitized,100,Of what group in the periodic table is oxygen a member?,Oxygen is a chemical element with symbol O and atomic number 8. It is a member of the chalcogen group on the periodic table and is a highly reactive nonmetal and oxidizing agent that readily forms com,chalcogen | chalcogen | chalcogen | chalcogen | the chalcogen group,chalcogen,1.0,1,1.8838,0.01,"""chalcogen"" × 100",chalcogen,1.0,1,chalcogen,1.0,1
partial,SDP-ICL F1=0.600 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,5725cc38ec44d21400f3d5bb,llama,sanitized,100,How did the principle treaties that form the European Union begin?,"The principal Treaties that form the European Union began with common rules for coal and steel, and then atomic energy, but more complete and formal institutions were established through the Treaty of","with common rules for coal and steel, and then atomic energy | with common rules for coal and steel | with common rules for coal and steel | with common rules for coal and steel",coal and steel,0.6,0,2.0387,0.04,"""coal and steel"" × 91 | ""common rules for coal and steel"" × 5 | ""with common rules for coal and steel"" × 3 | ""common rules for coal and steel atomic energy"" × 1",coal and steel,0.6,0,coal and steel,0.6,0
partial,SDP-ICL F1=0.600 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,572941273f37b319004781b1,llama,sanitized,100,What was the verdict on other alleged errors?,"Former IPCC chairman Robert Watson has said ""The mistakes all appear to have gone in the direction of making it seem like climate change is more serious by overstating the impact. That is worrying. Th","""generally unfounded and also marginal to the assessment"" | generally unfounded and also marginal to the assessment | generally unfounded and also marginal to the assessment",unfounded and marginal,0.6,0,1.8076,0.06,"""unfounded and marginal"" × 77 | ""generally unfounded and also marginal"" × 13 | ""unfounded"" × 5 | ""generally unfounded"" × 2 | ""generally unfounded and also marginal to assessment"" × 2 | ... 另有 1 種不同答案",,,,,,
partial,SDP-ICL F1=0.600 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,5728eb1a3acd2414000e01c9,llama,sanitized,100,Anarchists do not want to accept punishment for what reason?,"Some civil disobedients feel it is incumbent upon them to accept punishment because of their belief in the validity of the social contract, which is held to bind all to obey the laws that a government",does not infringe the rights of others | don't believe in the legitimacy of any government | a violation of criminal law that does not infringe the rights of others | see no need to accept punishment for a violation of criminal law that does not infringe the rights of others | a violation of criminal law that does not infringe the rights of others.,infringing rights of others,0.6,0,2.2774,0.17,"""infringing rights of others"" × 31 | ""they see no need to accept punishment for violation of criminal law that does not infringe rights of others"" × 26 | ""because it doesnt infringe rights of others"" × 12 | ""they dont believe in legitimacy of any government"" × 10 | ""because it does not infringe rights of others"" × 4 | ... 另有 12 種不同答案",,,,,,
partial,SDP-ICL F1=0.600 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,572a03a06aef0514001551ae,llama,sanitized,100,What are the main threats facing the Amazon rainforest in the current century?,One computer model of future climate change caused by greenhouse gas emissions shows that the Amazon rainforest could become unsustainable under conditions of severely reduced rainfall and increased t,climate change in addition to deforestation | climate change in addition to deforestation | climate change in addition to deforestation,climate change and deforestation,0.6,0,1.8077,0.02,"""climate change and deforestation"" × 80 | ""deforestation and climate change"" × 20",,,,,,
partial,SDP-ICL F1=0.600 (介於 0.4~0.8); EM=0 但語意可能部分正確，適合說明 metric gap,57294baaaf94a219006aa26b,llama,sanitized,100,What role did Michael Oppenheimer have in the IPCC's reports?,"Michael Oppenheimer, a long-time participant in the IPCC and coordinating lead author of the Fifth Assessment Report conceded in Science Magazine's State of the Planet 2008-2009 some limitations of th",coordinating lead author of the Fifth Assessment Report | participant in the IPCC and coordinating lead author of the Fifth Assessment Report | coordinating lead author of the Fifth Assessment Report,coordinating lead author,0.6,0,1.8557,0.01,"""coordinating lead author"" × 100",,,,,,
